	variable	d	CuedHalf	Alignment	Congruency	participant	ProbabilityCue
0	Congruent_Aligned_Top	1.956041315740682	Top	Aligned	Congruent	1	25cueTarget
1	Congruent_Aligned_Top	0.9107720426387157	Top	Aligned	Congruent	2	25cueTarget
2	Congruent_Aligned_Top	1.366021746280955	Top	Aligned	Congruent	3	25cueTarget
3	Congruent_Aligned_Top	3.277836117098735	Top	Aligned	Congruent	5	25cueTarget
4	Congruent_Aligned_Top	2.319343377147554	Top	Aligned	Congruent	6	25cueTarget
5	Congruent_Aligned_Top	3.083023961177861	Top	Aligned	Congruent	7	25cueTarget
6	Congruent_Aligned_Top	2.31798495503839	Top	Aligned	Congruent	8	25cueTarget
7	Congruent_Aligned_Top	0.803232393378558	Top	Aligned	Congruent	9	25cueTarget
8	Congruent_Aligned_Top	1.7109231396898714	Top	Aligned	Congruent	10	25cueTarget
9	Congruent_Aligned_Top	1.6448536269514722	Top	Aligned	Congruent	11	25cueTarget
10	Congruent_Aligned_Top	2.31798495503839	Top	Aligned	Congruent	12	25cueTarget
11	Congruent_Aligned_Top	1.8780546230667041	Top	Aligned	Congruent	13	25cueTarget
12	Congruent_Aligned_Top	1.6668720319521682	Top	Aligned	Congruent	14	25cueTarget
13	Congruent_Aligned_Top	0.289169283788514	Top	Aligned	Congruent	15	25cueTarget
14	Congruent_Aligned_Top	0.5488284033410076	Top	Aligned	Congruent	16	25cueTarget
15	Congruent_Aligned_Top	1.5348986686804	Top	Aligned	Congruent	17	25cueTarget
16	Congruent_Aligned_Top	2.6812870164452622	Top	Aligned	Congruent	18	25cueTarget
17	Congruent_Aligned_Top	2.6267231940125146	Top	Aligned	Congruent	19	25cueTarget
18	Congruent_Aligned_Top	1.5608339022018305	Top	Aligned	Congruent	20	25cueTarget
19	Congruent_Misligned_Top	2.4864748605243863	Top	MisAligned	Congruent	1	25cueTarget
20	Congruent_Misligned_Top	1.3915065238156725	Top	MisAligned	Congruent	2	25cueTarget
21	Congruent_Misligned_Top	2.319343377147554	Top	MisAligned	Congruent	3	25cueTarget
22	Congruent_Misligned_Top	1.8780546230667041	Top	MisAligned	Congruent	5	25cueTarget
23	Congruent_Misligned_Top	2.0301740933590398	Top	MisAligned	Congruent	6	25cueTarget
24	Congruent_Misligned_Top	1.5348986686804	Top	MisAligned	Congruent	7	25cueTarget
25	Congruent_Misligned_Top	1.162094736348864	Top	MisAligned	Congruent	8	25cueTarget
26	Congruent_Misligned_Top	0.9598511620603447	Top	MisAligned	Congruent	9	25cueTarget
27	Congruent_Misligned_Top	0.9278368533318815	Top	MisAligned	Congruent	10	25cueTarget
28	Congruent_Misligned_Top	0.7571510528365597	Top	MisAligned	Congruent	11	25cueTarget
29	Congruent_Misligned_Top	3.5229542931495472	Top	MisAligned	Congruent	12	25cueTarget
30	Congruent_Misligned_Top	1.162094736348864	Top	MisAligned	Congruent	13	25cueTarget
31	Congruent_Misligned_Top	1.366021746280955	Top	MisAligned	Congruent	14	25cueTarget
32	Congruent_Misligned_Top	-0.12566134685507402	Top	MisAligned	Congruent	15	25cueTarget
33	Congruent_Misligned_Top	1.2595331605439044	Top	MisAligned	Congruent	16	25cueTarget
34	Congruent_Misligned_Top	1.226941699980482	Top	MisAligned	Congruent	17	25cueTarget
35	Congruent_Misligned_Top	1.4217538559013576	Top	MisAligned	Congruent	18	25cueTarget
36	Congruent_Misligned_Top	1.4072129123996746	Top	MisAligned	Congruent	19	25cueTarget
37	Congruent_Misligned_Top	2.319343377147554	Top	MisAligned	Congruent	20	25cueTarget
38	Incongruent_Aligned_Top	1.5608339022018305	Top	Aligned	Incongruent	1	25cueTarget
39	Incongruent_Aligned_Top	-0.37900844999087374	Top	Aligned	Incongruent	2	25cueTarget
40	Incongruent_Aligned_Top	-1.516110983768996	Top	Aligned	Incongruent	3	25cueTarget
41	Incongruent_Aligned_Top	0.3619436392977081	Top	Aligned	Incongruent	5	25cueTarget
42	Incongruent_Aligned_Top	0.8001510970511558	Top	Aligned	Incongruent	6	25cueTarget
43	Incongruent_Aligned_Top	-0.7706409328151355	Top	Aligned	Incongruent	7	25cueTarget
44	Incongruent_Aligned_Top	-2.9264051924960723	Top	Aligned	Incongruent	8	25cueTarget
45	Incongruent_Aligned_Top	-1.3997814940320308	Top	Aligned	Incongruent	9	25cueTarget
46	Incongruent_Aligned_Top	0.9107720426387157	Top	Aligned	Incongruent	10	25cueTarget
47	Incongruent_Aligned_Top	-0.5120328767857492	Top	Aligned	Incongruent	11	25cueTarget
48	Incongruent_Aligned_Top	2.0728667789875797	Top	Aligned	Incongruent	12	25cueTarget
49	Incongruent_Aligned_Top	-0.13908004630047316	Top	Aligned	Incongruent	13	25cueTarget
50	Incongruent_Aligned_Top	0.6500618595631148	Top	Aligned	Incongruent	14	25cueTarget
51	Incongruent_Aligned_Top	0.9672825804279884	Top	Aligned	Incongruent	15	25cueTarget
52	Incongruent_Aligned_Top	1.094968336708714	Top	Aligned	Incongruent	16	25cueTarget
53	Incongruent_Aligned_Top	0.5109818132626419	Top	Aligned	Incongruent	17	25cueTarget
54	Incongruent_Aligned_Top	-1.956041315740682	Top	Aligned	Incongruent	18	25cueTarget
55	Incongruent_Aligned_Top	1.0598102166036494	Top	Aligned	Incongruent	19	25cueTarget
56	Incongruent_Aligned_Top	1.7705149738065464	Top	Aligned	Incongruent	20	25cueTarget
57	Incongruent_Misligned_Top	1.7705149738065464	Top	MisAligned	Incongruent	1	25cueTarget
58	Incongruent_Misligned_Top	0.5120328767857489	Top	MisAligned	Incongruent	2	25cueTarget
59	Incongruent_Misligned_Top	0.0	Top	MisAligned	Incongruent	3	25cueTarget
60	Incongruent_Misligned_Top	1.4217538559013576	Top	MisAligned	Incongruent	5	25cueTarget
61	Incongruent_Misligned_Top	1.2815515655446004	Top	MisAligned	Incongruent	6	25cueTarget
62	Incongruent_Misligned_Top	-0.25965911955249354	Top	MisAligned	Incongruent	7	25cueTarget
